名称,商品条码,规格,总销量,销售价,进货价
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3009294411612,12寸亮片气球玫瑰金一个,0,0.3,0.2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3000340761514,12寸亮片气球玫瑰金10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3003966114733,12寸亮片气球紫一个,0,0.2,0.1
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3002748143718,12寸亮片气球紫10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3009286550015,12寸亮片气球红一个,0,0.3,0.2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3003772192284,12寸亮片气球红10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3007486840127,12寸亮片气球蓝10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3001116390419,12寸亮片气球蓝一个,0,0.3,0.2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3007664008479,12寸亮片气球金10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3002408327830,12寸亮片气球金一个,0,0.3,0.2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3005432150597,12寸亮片气球银10个,0,4.6,2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,3004547236936,12寸亮片气球银一个,0,0.3,0.2
Dr.Alva瑷尔博士 益生精研平衡修护面膜 补水锁水修护面膜25g/片(包装随机),6923129538718,1片,0,4.6,1.6
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3004513912772,混色10个装,0,1,0.6
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3004176017517,粉色100个装,0,10.8,5.5
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3005121031718,粉色10个装,0,1,0.6
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3007435006215,紫色100个装,0,10.8,5.5
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3005867547016,紫色10个装,0,1,0.6
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3000592963810,红色100个装,0,10.8,5.5
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3003010756414,红色10个装,0,1,0.6
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3006453417386,蓝色100个装,0,10.8,5.5
【颜色可选】马卡龙梦幻气球 结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球/个,3000156293889,蓝色10个装,0,1,0.6
RedBull/红牛 红牛维生素功能饮料 250ml/罐,6920202888883,0,0,6,4.6
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,3003490753897,300ml*20个,0,13.4,8
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,3006657539853,300ml*1个,0,0.7,0.4
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,3008037601211,500ml*20个,0,17.4,10
【加厚带盖】一次性饮料瓶 300／500ml豆浆冷饮透明塑料杯榨汁酵素瓶子奶茶杯果汁瓶／个,3003205930469,500ml*1个,0,0.7,0.5
【台球巧克粉】巧克粉台球杆擦枪头粉巧粉皮头粉台球用品皮头粉枪壳粉桌球擦粉台球粉／个,3008960065340,一盒12个,0,10.8,4.8
【台球巧克粉】巧克粉台球杆擦枪头粉巧粉皮头粉台球用品皮头粉枪壳粉桌球擦粉台球粉／个,3006159332273,一个,0,1.2,0.4
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,3009554491514,白光面一个,0,0.3,0.1
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,3003804640219,白光面10个,0,2.7,1
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,3009177168978,黄光面一个,0,0.3,0.1
【摸奖乒乓球】磨砂无缝有缝比赛球抽奖球摸奖游戏球黄白无字塑料球抽奖乒乓球／个,3007609145016,黄光面10个,0,2.7,1
【独立包装】一次性叉勺 加厚布丁勺甜品勺点心叉生日蛋糕餐具一次性勺子叉子一体勺/个,3005043852415,1个（随机颜色）,0,0.2,0.1
【抽绳垃圾袋】手提式抽绳垃圾袋 40*50cm*15只抽绳式塑料袋/卷(颜色随机无包装),3008466678372,15只*10卷,0,16.7,8
【抽绳垃圾袋】手提式抽绳垃圾袋 40*50cm*15只抽绳式塑料袋/卷(颜色随机无包装),3006567951110,【45*50】15只*1卷,0,1.7,0.8
