内部商品名称,内部规格,内部条码,内部销售价,总销量,进货价,外部商品名称,外部规格,外部活动价,外部原价,匹配结果,商品分类,线上原价,线上活动价,定价类型,线下价格
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球玫瑰金一个,3009294411612,0.3,0,0.2,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球玫瑰金10个,3000340761514,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球紫一个,3003966114733,0.2,0,0.1,,,,,无匹配,C,0.5,0.2,普通商品(高毛利),0.2
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球紫10个,3002748143718,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球红一个,3009286550015,0.3,0,0.2,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球红10个,3003772192284,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球蓝10个,3007486840127,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球蓝一个,3001116390419,0.3,0,0.2,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球金10个,3007664008479,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球金一个,3002408327830,0.3,0,0.2,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球银10个,3005432150597,4.6,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
【颜色可选】12寸网红亮片气球 婚礼婚房场景浪漫装饰生日派对布置用品透明乳胶气球亮片填充个,12寸亮片气球银一个,3004547236936,0.3,0,0.2,【颜色可选】马卡龙梦幻气球结婚婚礼幼儿园活动装饰生日派对场景布置加厚乳胶气球／个,圆形颜色随机*1个,0.1,0.3,模糊匹配,C,0.5,0.2,普通商品(中毛利),0.5
Dr.Alva瑷尔博士 益生精研平衡修护面膜 补水锁水修护面膜25g/片(包装随机),1片,6923129538718,4.6,0,1.6,【瑷尔博士】面膜益生菌精研深层修护玻尿酸补水保湿修护面膜/张（包装随机）,,9.9,9.9,条码匹配,C,9.9,9.9,普通商品(高毛利),4.5
