名称,条码,固定促销价,
娃哈哈塑包饮用纯净水596ml*12,6902083892104,10.9,
娃哈哈纯净水596ml*24,16902083881624,21,
可口可乐听装330ml*6,6954767417134,9.9,
农夫山泉天然水矿泉水12.9L,6921168594054,16.8,
农夫山泉矿泉水5L,6921168593545,6.9,
农夫山泉纯净水绿瓶550ml*12,6921168560424,9.9,
农夫山泉红瓶550ml*12,6921168502066,10.9,
农夫山泉红瓶装1.5L/瓶,6921168520015,1.5,
怡宝饮用纯净水12.8L,6901285993060,15.9,
怡宝饮用纯净水6L,6901285993282,8.5,
怡宝饮用纯净水4.5L,6901285991530,7.5,
怡宝饮用纯净水555ml*24,6901285992872,21,
怡宝Cestbon 饮用纯净水 555ml*12瓶/包,6901285991486,10.9,
娃哈哈AD钙奶220ml*4,6933645403759,6.9,
可口可乐500ML,6954767412573,3,
乐堡啤酒500ml*12,6901672650194,55,
重庆啤酒国宾醇麦9.5度听装500ml*12,6903133771912,60.2,
重庆啤酒黄啤国宾（红罐）500ml*12,6903133123186,50.2,

