名称,条码,建议零售价
农夫东方树叶乌龙茶900ml,6921168599905,7
农夫东方树叶绿茶500ml,6921168558018,5
农夫东方树叶乌龙茶500ml,6921168558032,5
农夫东方树叶红茶500ml,6921168558025,5
农夫东方树叶青柑普洱500ml,6921168596348,5
农夫东方树叶茉莉花茶900ml,6921168598427,7
农夫尖叫纤维绿色瓶550ml,6921168504022,5
百事七喜（冰爽柠檬味）330ml,6915766002905,3
百事可乐 罐装330ml,6915766002882,3
农夫尖叫茶氨酸（黄金桃）味550ml,6921168560240,5
农夫尖叫乳钙型（柑橘味）550ml,6921168560226,5
雀巢丝滑拿铁即饮咖啡,6917878030623,5
农夫尖叫多肽蓝色550ml,6921168504015,5
农夫水溶C100血橙味445ml,6921168560189,5
农夫水溶C100青皮桔味 445ml,6921168559244,5
农夫茶π西柚茉莉花 900ml,6921168598298,7
农夫茶π柠檬红茶900ml,6921168594467,7
雀巢榛果风味拿铁咖啡268ml,6917878054766,5
农夫茶π蜜桃乌龙900ml,6921168594450,7
农夫山泉茶Π柚子绿茶900ml,6921168598304,7
百事无糖青柠口味 500ml,6915766004947,3
农夫茶π蜜桃乌龙500ml,6921168593569,5
农夫茶π西柚茉莉花500ml,6921168593552,5
百事可乐500ml,6915766004435,3
农夫茶π青提乌龙500ml,6921168597727,5
农夫山泉红瓶550ml,6921168509256,2
果子熟了夏黑葡萄乌龙果汁茶487ml,6973497202506,5
农夫山泉纯净水绿瓶550ml,6921168560509,2
果子熟了橙子茉莉果汁茶500ml,6973497205644,5
康师傅冰红茶500ml,6922456805012,3
果子熟了多多柠檬茶夏黑葡萄味500ml,6973497201752,5
康师傅蜂蜜柚子茶1L,6922456856854,4.5
果子熟了多多柠檬茶茉莉风味500ml,6973497203916,5
果子熟了青提栀子香500ml,6973497206436,5
统一阿萨姆奶茶500ML,6925303730574,4
统一鲜橙多450ml,6925303721039,3
元气森林气泡水夏黑葡萄味480ml,6970399923096,5
元气森林气泡水VC橙味480ml,6937003704014,5
元气森林气泡水白桃味480ml,6970399920415,5
元气森林气泡水冰柠可乐480ml,6975176784273,5
脉动青柠1L,6902538006261,7
元气森林气泡水VC柠檬味480ml,6975176783733,5
脉动水蜜桃1L,6902538006278,7
脉动0糖香水柠檬味维生素饮料600ml,6902538008425,5
脉动0糖白桃味600ml,6902538008401,5
脉动桃子600ml,6902538005141,5
元气天山爷爷维生素E新疆甜石榴复合果蔬饮料400ml,6937003708173,5
脉动青柠600ml,6902538004045,5
娃哈哈营养快线原味450g,6902083898618,4
娃哈哈营养快线-菠萝450ml,6902083898625,4
脉动雪柚橘子600ml,6902538004052,5
娃哈哈营养快线椰子450克,6902083907150,4
脉动菠萝口味,6902538007169,5
康师傅大食桶红烧牛肉面144g,6920208900374,6
康师傅桶装经典番茄鸡蛋牛肉面126g,6937962111526,5
乐事薯片-金黄炒蟹70g,6924743923515,7
康师傅大食桶老陈醋酸辣牛肉面161+6g,6920208933549,6
比巴卜超软泡泡糖混合口味 1g带纹身贴纸混合味儿童口香糖怀旧,3007850437434,0.25
白象大辣娇经典火鸡拌面119g/盒,6935270639015,5
白象大辣娇咸蛋黄火鸡拌面113g,6935270649335,5
甜甜乐星球杯（3代）纯可可脂夹心饼干粒儿童节零食20g,3004601757452,0.5
三养韩式甜辣炸鸡辣鸡肉味拌面140g,8801073116153,7.5
三养辣鸡肉芝士味140g,8801073113268,7.5
三养超辣鸡肉奶油味130g,8801073113770,7.5
康师傅袋装小米辣泡椒牛肉面105g,6920208986163,3
康师傅大食袋泡椒牛肉面147g,6937962101633,3.5
康师傅大食袋香辣牛肉面151g,6920208924028,3.5
康师傅袋装珍品麻辣牛肉面106g,6920208960866,3
娃哈哈营养快线 红枣枸杞味水果酸奶饮品450g,6902083905217,4
康师傅袋装鲜虾鱼板面103g,6920208907991,3
康师傅袋装老坛酸菜牛肉面117g,6920208995349,3
康师傅袋装酸辣香爽金汤肥牛面107g,6937962130220,3
康师傅袋装老陈醋酸辣牛肉面115g,6920208923991,3
伊利安慕希酸奶黄桃燕麦味200g,6907992513560,7
康师傅袋装香辣牛肉面111g,6920208903993,3
康师傅番茄鸡蛋牛肉面115g,6937962111540,3
白象 汤好喝 辣牛肉汤面 方便面 泡面 114g/袋,6935270641889,3
和成天下 槟榔原包装正品槟榔强劲有力味经典海纳百川80g,6977653009992,100.00
和成天下 槟榔原包装正品槟榔强劲有力味经典金石之交40g,6977653009985,50.00
湘潭铺子枸杞槟榔28g伍子醉冰榔宾槟郎,6973717960032,30.00
湘潭铺子槟榔富贵兵团经典原味10g,6933125600333,10.00
湘潭铺子枸杞槟榔紫气东来50元58g 装精制枸杞槟榔湖南特产湘潭宾榔槟,6933125600289,50.00
口味王黛绿 槟榔原包装正品槟榔强劲有力味22g,6931273220151,30.00
口味王 槟榔原包装正品槟榔强劲有力味经典气吞山河50g,6931273213115,50.00
口味王 槟榔原包装正品槟榔强劲有力味经典金风玉露30g,6931273208128,30.00
