名称,条码
三养韩式甜辣炸鸡辣鸡肉味拌面140g,8801073116153
三养超辣鸡肉奶油味130g,8801073113770
三养辣鸡肉芝士味140g,8801073113268
三养火鸡面辣子鸡肉味拌面 140g,8801073110502
比航台式卤肉自热米饭315g,6978412970218
比航红烧牛肉自热米饭315g,6978412970195
林溪湾咸鸭蛋单枚装60g,6976084450007
自嗨锅广式卤肉盖浇饭262g,6973787865176
自嗨锅台式香肠盖浇饭252g,6973787864520
食族人经典酸辣粉145g,6971807590121
李子柒柳州螺蛳粉335g,6971558610017
乡得旺 盐焗味卤鸡蛋 30g/袋,6970400910992
好欢螺柳州螺蛳粉（加辣版）400克,6970006620639
贤哥盐焗鸡蛋30g,6959836904058
莫小仙泡椒米线104g,6958770005555
莫小仙重庆小面108g,6958770002752
莫小仙酸辣粉100g,6958770002615
莫小仙老成都火锅300g,6958770002523
莫小仙菌菇牛肉煲仔饭265g,6958770001892
金樱花豆豉鱼罐头184g,6945640200141
圆珍卤蛋（1个装）32g,6942288900051
达利园八宝粥（桂圆莲子）360ml,6939003000011
康师傅麻辣牛肉拌面110g,6937962143305
康师傅红烧牛肉拌面110g,6937962143220
康师傅袋装辣番茄鸡蛋牛肉面113g,6937962140526
康师傅袋装酸辣香爽金汤肥牛面107g,6937962130220
康师傅桶装酸辣香爽金汤肥牛面113g,6937962130145
康师傅番茄鸡蛋牛肉面115g,6937962111540
康师傅桶装经典番茄鸡蛋牛肉面126g,6937962111526
康师傅大食袋泡椒牛肉面147g,6937962101633
劲仔 七个博士鹌鹑蛋办公室休闲小包装卤蛋盐焗味70g,6937623405346
白象汤好喝金汤肥牛面121g,6935270654025
白象大辣娇咸蛋黄火鸡拌面113g,6935270649335
白象粉面菜蛋-金汤肥牛150g,6935270647355
白象汤好喝老母鸡汤面116g,6935270642107
白象汤好喝招牌猪骨汤面112g,6935270642091
白象 汤好喝 辣牛肉汤面 方便面 泡面 114g/袋,6935270641889
白象大辣娇麻辣小龙虾拌面115g,6935270641254
白象大辣娇经典火鸡拌面119g/盒,6935270639015
洁龙带壳鹌鹑蛋-香辣味200g,6928528000118
洁龙3粒装带壳鹌鹑蛋香辣味30g,6928528000033
银鹭好粥道椰奶燕麦粥280g,6926892568081
银鹭好粥道薏仁红豆粥280g,6926892567084
银鹭好粥道黑米粥280g,6926892566087
银鹭好粥道莲子玉米粥280g,6926892565080
银鹭好粥道紫薯紫米粥280g,6926892501033
阿宽干拌红油面皮麻辣（袋）115g,6926410332743
白家粉丝酸辣粉（袋）108g,6926410320047
白家粉丝酸辣粉（桶）108g,6926410320023
五合一茄皇番茄牛肉面 126g,6925303796693
茄皇番茄牛肉面 128g,6925303796426
五合一茄皇番茄鸡蛋面 116g,6925303795528
茄皇番茄鸡蛋桶面120g,6925303795214
统一巧面馆袋装藤椒牛肉面102g,6925303793067
汤达人韩式辣牛肉杯面82g,6925303792978
统一巧面馆豌豆杂酱碗面125g,6925303792749
汤达人海鲜杯面80g,6925303791155
汤达人日式豚骨杯面83g,6925303770563
汤达人酸酸辣辣豚骨面90g,6925303770556
统一巧面馆桶装老坛酸菜牛肉面123g,6925303770310
统一巧面馆袋装老坛酸菜牛肉面红油味120g,6925303770006
统一巧面馆袋装油泼辣子酸汤面110g,6925303743024
巧面馆 老成都担担碗面 120g,6925303740719
统一巧面馆桶装油泼辣子面116g,6925303740702
统一巧面馆桶装麻辣笋子牛肉面108g,6925303740627
统一巧面馆袋装麻辣笋子牛肉面106g,6925303740351
汤达人酸酸辣辣碗面135g,6925303714857
汤达人日式豚骨碗面130g,6925303714840
统一桶装红烧牛肉面103g,6925303714086
统一巧面馆桶装老坛泡椒牛肉面107g,6925303711368
统一巧面馆袋装老坛泡椒牛肉104g,6925303711146
汤达人袋装酸酸辣辣豚骨面130g,6925303710897
汤达人袋装日式豚骨面125g,6925303710880
统一袋装红烧牛肉面100g,6925303710187
欢乐家黄桃罐头256g （玻璃罐装）,6924254675149
欢乐家什锦水果罐头256g （玻璃罐装）,6924254674456
欢乐家桔子罐头256g （玻璃罐装）,6924254673053
欢乐家 热带杂果什锦罐头460g,6924254672308
无穷农场盐焗鸡蛋30g,6924160714017
香仔Q蛋-原味32g,6921931808340
京鲁远洋奥尔良鸡肉饭团100g,6920454203427
京鲁远洋照烧鸡排饭团100g,6920454202857
京鲁远洋金枪鱼饭团100g,6920454202772
康师傅袋装老坛酸菜牛肉面117g,6920208995349
康师傅袋装小米辣泡椒牛肉面105g,6920208986163
康师傅袋装珍品麻辣牛肉面106g,6920208960866
康师傅红烧牛肉面103g,6920208960064
康师傅桶装老坛酸菜牛肉面122g,6920208957972
康师傅大食桶泡椒牛肉面145g,6920208933822
康师傅大食桶老陈醋酸辣牛肉面161+6g,6920208933549
康师傅大食桶老坛酸菜牛肉面159+6g,6920208924288
康师傅大食袋香辣牛肉面151g,6920208924028
康师傅袋装老陈醋酸辣牛肉面115g,6920208923991
康师傅泡椒牛肉面桶装113g,6920208915477
康师傅桶装香辣牛肉面120g,6920208914173
康师傅桶装老陈醋酸辣牛肉面125g,6920208914067
康师傅袋装鲜虾鱼板面103g,6920208907991
康师傅桶装麻辣牛肉面114g,6920208904372
康师傅袋装香辣牛肉面111g,6920208903993
康师傅桶装红烧牛肉面110g,6920208900770
康师傅大食桶香辣牛肉面148+6g,6920208900473
康师傅大食桶红烧牛肉面144g,6920208900374
达利园八宝粥-玉米莲子360ml,6911988019127
双汇精致热狗-玉米60g,6902890259879
双汇Q趣儿风味香肠-玉米70g,6902890259763
